Object ID,Last Year's Month,ADDRESS,Primary Category for Calendar,Category,GA,Festival Name,Website,FilmFreeway / Submissions,Date Changes & Cancellations due to COVID-19,Start Date,End Date,City,State,First Submission Deadline,Last Submission Deadline,Oscar Qualifying (Short Subject),Oscar Qualifying (Doc Short),Film Fest Alliance,Category Start,General,Documentary,Short,Women's,LGBTQ+,Jewish,"Black, African, Afr. Am. (etc)","Asian, As. Am. (etc)","Latino, Latin American (etc)","Native American, Indigenous (etc)","Muslim, Arab, Arab Am. (etc)","Misc. Ethnic, Cultural, Foreign Focus (etc)","Genre - (SciFi, Fantasy, Thriller, Horror, etc.)",Horror,Underground,Animation,Comedy,Student,Misc. Niche,"Environment, Outdoor, Adventure, Wildlife","Social Justice, Peace",Children's,Dance,Christian,"Experimental, Video Art (etc)"
37,9,"110 East Hallam, Suite 103, Aspen, CO  81611",General,General,,Aspen Filmfest,http://www.aspenfilm.org/,---,Switched to hybrid Oct 15-21,9/21/2020,9/26/2020,Aspen,CO,tbd,tbd,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,
38,,"110 East Hallam, Suite 103, Aspen, CO  81611",Short,Short,,Aspen Shortsfest,http://www.aspenfilm.org/,https://filmfreeway.com/AspenShortsfest,"Canceled, considering virtual",3/31/2020,4/5/2020,Aspen,CO,8/16/2019,11/8/2019,X,X,x,,,,x,,,,,,,,,,,,,,,,,,,,,,
39,,"Barnard College 3009 Broadway New York, NY 10027 United States",Women's,Women's,,Athena Film Festival ,https://athenafilmfestival.com/,https://filmfreeway.com/AthenaFilmFestival,,2/27/2020,3/1/2020,New York,NY,8/1/2019,8/22/2019,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,
40,,"20 S Court St, Athens, Ohio 45701",General,General,,Athens International Film + Video Festival ,http://athensfilmfest.org/,https://filmfreeway.com/AthensInternationalFilmandVideoFestival,New Dates: Oct 12-18,4/6/2020,4/12/2020,Athens,OH,9/1/2019,12/1/2019,X,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
41,12,"931 Monroe Dr NE, Atlanta, GA 30308 United States",Comedy,Comedy,,Atlanta Comedy Film Festival,https://info.filmfestivalcircuit.com/atlanta-comedy-film-festival,https://filmfreeway.com/AtlantaComedyFilmFestival,New Date: Dec 6,7/31/2020,7/31/2020,Atlanta,GA,12/31/2019,5/31/2020,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
42,11,"1545 Peachtree Street Northeast, Atlanta, Georgia 30309",Documentary,Documentary,,Atlanta DocuFest,http://www.docufest.com/,https://filmfreeway.com/docufest,,11/5/2020,11/7/2020,Atlanta,GA,12/31/2019,10/7/2020,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
43,,"25 Park Place NE, Suite 800, Atlanta, GA 30302-5060 United States",General,General,,Atlanta Film Festival,http://atlantafilmfestival.com/,https://filmfreeway.com/ATLFF,Postponed (new dates TBA),4/30/2020,5/10/2020,Atlanta,GA,6/6/2019,11/14/2019,X,X,x,,x,,,,,,,,,,,,,,,,,,,,,,,,
44,,"1180 Briarcliff CT NE Unit 1 Atlanta, GA 30306 United States",Horror,Horror,,Atlanta Horror Film Fest,http://atlantahorrorfilmfest.com/,https://filmfreeway.com/atlantahorrorfest,New Dates: Oct 15-17,9/17/2020,9/19/2020,Atlanta,GA,11/20/2019,8/19/2020,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
45,,"1800 Peachtree Street NE, Suite 830 Atlanta, GA 30309 United States",Jewish,Jewish,,Atlanta Jewish Film Festival,https://www.ajff.org/,https://filmfreeway.com/AtlJewishFIlm,,2/5/2020,2/25/2020,Atlanta,GA,8/30/2019,10/25/2019,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,
46,,"1180 Briarcliff CT NE, Atlanta, Georgia 30306",Short,Short,,Atlanta Shortsfest,http://www.atlantashortsfest.com/,https://filmfreeway.com/atlantashortsfest,New Dates: Aug 27-29,7/16/2020,7/18/2020,Atlanta,GA,8/31/2019,6/10/2020,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
47,,"1180 Briarcliff Ct. Ne #1 Atlanta, Georgia 30306 United States",Underground,Underground,,Atlanta Underground Film Festival,http://www.auff.org/,https://filmfreeway.com/auff,Switched to outdoors Sept 3-5,8/13/2020,8/15/2020,Atlanta,GA,10/31/2019,7/13/2020,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
805,10,"218 N. Huntington Avenue Margate, NJ 08402 United States",General,General,,Atlantic City Cinefest,http://atlanticcitycinefest.org/,https://filmfreeway.com/DownbeachFilmFestivalAtlanticCityCinefest,,tbd,tbd,Atlantic City,NJ,tbd,tbd,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
48,,"6226 Middle Fiskville Road, Austin, Texas 78752","Asian, As. Am. (etc)",Asian/Asian American,,Austin Asian American Film Festival,https://www.aaafilmfest.org/,https://filmfreeway.com/AAAFF,Postponed until late November; virtual shorts program June 11-17,6/11/2020,6/14/2020,Austin,TX,11/15/2019,2/28/2020,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
49,,"8600 FM 620 N Austin, TX 78726 United States",Comedy,"Short, Comedy",,Austin Comedy Short Film Festival,https://info.filmfestivalcircuit.com/austin-comedy-short-film-festival,https://filmfreeway.com/AustinComedyShortFilmFestival,New Date: Sept 13,4/19/2020,4/19/2020,Austin,TX,9/30/2019,2/29/2020,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,
50,10,"1801 Salina St. Austin, Texas 78702 United States",General,General,,Austin Film Festival ,https://austin...festival.com/,https://filmfreeway.com/AustinFilmFestival,,10/22/2020,10/29/2020,Austin,TX,3/27/2020,7/6/2020,X,X,,,x,,,,,,,,,,,,,,,,,,,,,,,,
52,11,"Dell Jewish Community Campus, 7300 Hart Ln, Austin, TX 78731",Jewish,Jewish,,Austin Jewish Film Festival,https://austinjff.org/,---,,tbd,tbd,Austin,TX,tbd,tbd,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
53,,"1911 Aldrich Street, Austin, Texas 78723",General,General,,Austin Revolution Film Festival,https://www.austinrevolution.com/,https://filmfreeway.com/austinrevolutionfilmfest,"Postponed until March 25-27, 2021",9/9/2020,9/12/2020,Austin,TX,10/31/2019,6/20/2020,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,
54,,"3503 W. Pico Blvd Los Angeles, California 90019 United States","Social Justice, Peace",Social Justice/Peace,,Awareness Festival,https://awarenessfestival.org/,https://filmfreeway.com/AwarenessFestival,Switched to virtual ,10/1/2020,10/11/2020,Los Angeles,CA,1/7/2020,8/5/2020,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
